NAME,CATEGORY,ADDRESS_POINT_ID,lat,lng,rating,open_at,close_at
Kew Balmy Beach,Nature/ Park,7683571,43.670598,-79.28419509999999,4.7,0.0,1700.0
Kew Gardens Park,Nature/ Park,7683571,43.668175,-79.29848,4.6,0.0,1700.0
Koerner Hall (at the Telus Centre for Performance and Learning),Performing Arts,772768,43.6676717,-79.3961722,4.8,1000.0,1800.0
Lower Ossington Theatre,Performing Arts,14225628,43.6463196,-79.4198294,4.4,900.0,1700.0
Mackenzie House,Museum,773899,43.6556693,-79.37842839999999,4.6,900.0,1700.0
Marie Curtis Park East Beach,Nature/ Park,14077509,43.5857357,-79.54058599999999,4.3,900.0,1700.0
Massey Hall,Performing Arts,7642517,43.6540275,-79.3789925,4.5,1000.0,1700.0
Mattamy Athletic Centre,Sports / Entertainment Venue,30018522,43.6621837,-79.38033089999999,4.4,800.0,1800.0
Medieval Times Dinner and Tournament,Performing Arts,13497566,43.63265029999999,-79.4255262,4.5,1000.0,2200.0
Metro Toronto Convention Centre,Convention & Trade Centres,13977191,43.6437901,-79.386673,4.4,800.0,1700.0
Montgomery's Inn,Museum,9340380,43.651723,-79.52569609999999,4.6,1100.0,1600.0
MuchMusic (Bell Media Queen Street),Landmark,3948802,43.6499958,-79.389893,4.2,900.0,2200.0
Mysteriously Yours Mystery Dinner Theatre,Performing Arts,10430693,43.658365,-79.383072,4.4,900.0,1700.0
Native Earth Performing Arts,Performing Arts,30022280,43.6600787,-79.36206589999999,4.6,1000.0,1700.0
Old City Hall,Landmark,8068212,43.6525198,-79.38171559999999,4.5,830.0,1630.0
Ontario Science Centre,Attraction,507987,43.7169404,-79.33894260000001,4.4,1000.0,1700.0
Osgoode Hall,Landmark,14200071,43.652027,-79.3857558,4.6,900.0,1700.0
Panasonic Theatre,Performing Arts,9941951,43.668037,-79.3857161,4.2,900.0,1700.0
Papermill Theatre (at Todmorden Mills),Performing Arts,10833995,43.6864006,-79.3602927,5.0,900.0,1700.0
Polson Pier,Attraction,9213006,43.64104349999999,-79.3556327,4.8,0.0,1700.0
Princess of Wales Theatre,Performing Arts,10180377,43.6468229,-79.389157,4.6,900.0,1700.0
Queen Elizabeth Theatre,Performing Arts,13497595,43.6327076,-79.4213438,4.2,900.0,1700.0
Queen's Park: Legislative Assembly of Ontario,Landmark,8128867,43.6622364,-79.39160869999999,4.0,900.0,1700.0
Randolph Academy of the Performing Arts,Performing Arts,6924860,43.6636118,-79.4108318,4.4,900.0,1700.0
Redpath Sugar Museum,Museum,8351189,43.6428973,-79.3712249,3.9,700.0,1730.0
Ricoh Coliseum,Sports / Entertainment Venue,13497818,43.63562719999999,-79.41503,4.4,900.0,1700.0
Ripley's Aquarium of Canada,Attraction,30025661,43.6424036,-79.38597159999999,4.6,1000.0,2000.0
Riverdale Farm,Attraction,7684079,43.667138,-79.3610495,4.6,900.0,1700.0
Riverdale Park (East and West),Nature/ Park,4840437,43.6657147,-79.3588561,4.7,0.0,1700.0
Rogers Centre,Sports / Entertainment Venue,5866193,43.64177979999999,-79.38914369999999,4.5,900.0,1700.0
Rosetta McClain Gardens,Nature/ Park,2893748,43.6964558,-79.2554688,4.7,0.0,1700.0
Rouge Beach,Nature/ Park,20044128,43.7933533,-79.1183363,4.6,900.0,1700.0
Rouge Park,Nature/ Park,6349679,43.8186288,-79.1722545,4.6,0.0,1700.0
Roy Thomson Hall,Performing Arts,868439,43.6466068,-79.3864069,4.6,1000.0,1700.0
Royal Alexandra Theatre,Performing Arts,7929660,43.6473614,-79.38758899999999,4.7,900.0,1700.0
Royal Conservatory of Music,Performing Arts,772768,43.6679716,-79.3963244,4.0,800.0,2000.0
Royal Ontario Museum,Museum,30022473,43.6677097,-79.3947771,4.7,1000.0,1730.0
Ryerson Image Centre,Gallery,30022231,43.6576945,-79.37938299999999,4.6,1200.0,1800.0
Ryerson Theatre,Performing Arts,7641981,43.65929999999999,-79.37989999999999,4.3,900.0,1700.0
Sarah and Chaim Neuberger Holocaust Education Centre,Museum,487321,43.7641143,-79.4418563,5.0,900.0,1700.0
Scarborough Museum,Museum,13967651,43.7576102,-79.2548231,4.4,1100.0,1600.0
Scarborough Village Theatre,Performing Arts,5045390,43.739991,-79.21671429999999,4.4,1300.0,1700.0
Solar Stage Children's Theatre,Performing Arts,578559,43.679786,-79.42392699999999,4.8,900.0,1700.0
Sony Centre for the Performing Arts,Performing Arts,11070359,43.6466723,-79.3760205,4.5,1200.0,1700.0
Spadina Museum,Museum,7986457,43.6789935,-79.4081472,4.6,1100.0,1700.0
St. James Park,Nature/ Park,8344747,43.6508405,-79.3730599,4.4,0.0,1700.0
St. Lawrence Centre for the Arts,Performing Arts,8351140,43.647533,-79.37530730000002,4.5,1200.0,1800.0
St. Lawrence Market and Market Gallery,Attraction,11075760,43.64873,-79.371541,4.4,1100.0,1600.0
Steam Whistle Brewery,Attraction,14172191,43.64088479999999,-79.38555980000001,4.7,1200.0,1800.0
Sugar Beach Park,Nature/ Park,30017889,43.6428972,-79.3673982,4.4,800.0,2300.0
Sunnyside Beach,Nature/ Park,6814671,43.6358749,-79.4623866,4.2,900.0,1700.0
Taras H. Shevchenko Museum,Museum,11394917,43.6559971,-79.45524809999999,4.4,900.0,1700.0
Tarragon Theatre,Performing Arts,7994659,43.6748584,-79.4128284,4.6,1000.0,1700.0
Textile Museum of Canada,Museum,7792171,43.6545057,-79.3867448,4.2,1130.0,1830.0
The 48th Highlanders Museum,Museum,868441,43.646771,-79.3853839,5.0,900.0,1700.0
The Bata Shoe Museum,Museum,8408594,43.6672667,-79.4001806,4.4,1200.0,1700.0
The Danforth Music Hall,Performing Arts,14075977,43.67624439999999,-79.35700829999999,4.5,900.0,1700.0
The Power Plant Contemporary Art Gallery,Gallery,20141759,43.6384653,-79.3818612,4.3,1000.0,1800.0
The Second City,Performing Arts,20040556,43.6453801,-79.3913012,4.3,900.0,2200.0
The Theatre Centre,Performing Arts,856913,43.6431207,-79.4232609,4.7,900.0,1700.0
The Village Playhouse,Performing Arts,13973721,43.6516733,-79.47473529999999,4.5,900.0,1700.0
Theatre Passe Muraille,Performing Arts,8031682,43.648553,-79.402586,4.6,1200.0,2000.0
Thompson Landry Gallery - Stone Building & Cooperage Space,Gallery,30032108,43.6500503,-79.3595682,4.3,1100.0,1600.0
TIFF Bell Lightbox,Landmark,14659357,43.6465513,-79.3904914,4.6,900.0,1700.0
Todmorden Mills Heritage Site,Landmark,10833995,43.686481,-79.36013129999999,4.5,1100.0,1600.0
Toronto Botanical Gardens and Edwards Gardens,Nature/ Park,20015330,43.73345339999999,-79.3598792,4.7,1000.0,2030.0
Toronto Centre for the Arts,Performing Arts,14072465,43.7660217,-79.4147033,4.5,900.0,1700.0
Toronto City Hall and Nathan Phillips Square,Landmark,856375,43.6527069,-79.38341369999999,4.6,900.0,1700.0
Toronto Congress Centre,Convention & Trade Centres,11047976,43.6924106,-79.5783227,4.4,730.0,1730.0
Toronto Eaton Centre,Landmark,7762825,43.6544382,-79.3806994,4.4,1100.0,1900.0
Toronto Island Park,Nature/ Park,14258203,43.6225505,-79.3746759,4.6,800.0,2300.0
Toronto Music Garden,Nature/ Park,13971630,43.63692710000001,-79.3946545,4.7,0.0,1700.0
Toronto Pearson International Airport,Transportation,0,43.67771760000001,-79.6248197,3.9,0.0,1700.0
Toronto Police Museum & Discovery Centre,Museum,7762664,43.6612021,-79.38480659999999,4.5,900.0,1700.0
Toronto Public Labyrinth at Trinity Square,Museum,7762766,43.6541746,-79.3818735,4.0,0.0,1700.0
Toronto Railway Museum,Museum,14172191,43.64071999999999,-79.385949,4.2,1200.0,1700.0
Toronto Reference Library,Landmark,8677433,43.6718065,-79.38681609999999,4.7,1330.0,1700.0
Toronto Sculpture Garden,Featured Park,8344741,43.6498554,-79.3736677,3.6,900.0,1700.0
Toronto Tourist Information Centre,Visitor Information,10864313,43.6448107,-79.3817767,4.5,900.0,1700.0
Yuk Yuk's,Performing Arts,7929614,43.6498097,-79.3883141,4.3,1830.0,2200.0
Toronto Zoo,Attraction,6349687,43.8206623,-79.1815077,4.5,930.0,1630.0
Toronto's First Post Office,Museum,14194698,43.6518902,-79.37041239999999,4.5,1200.0,1600.0
Travellers' Aid Society of Toronto,Visitor Information,10864313,43.6482903,-79.37351679999999,3.0,930.0,2130.0
Ukrainian Museum of Canada,Museum,870140,43.6621271,-79.402118,4.8,1000.0,1530.0
Union Station,Transportation,10864313,43.64524550000001,-79.3806348,4.1,900.0,1700.0
University of Toronto Art Centre,Gallery,7793198,43.6631609,-79.3957289,4.1,1200.0,1700.0
Village of Yorkville Park,Nature/ Park,9544521,43.6700187,-79.3916689,4.5,0.0,1700.0
Ward's Island Beach,Nature/ Park,3814227,43.6299761,-79.3522722,4.7,900.0,1700.0
Winchester Street Theatre,Performing Arts,883562,43.6663939,-79.3671033,4.5,900.0,1700.0
Woodbine Beach,Nature/ Park,7650406,43.66223799999999,-79.3088403,4.5,900.0,1700.0
Woodbine Racetracks,Attraction,1027360,43.7144731,-79.6041188,4.0,1000.0,1800.0
Woodbine Shopping Centre and Fantasy Fair,Attraction,1027357,43.7202951,-79.59987799999999,3.9,1100.0,1800.0
Yonge-Dundas Square,Landmark,14229809,43.6560811,-79.3801714,4.5,0.0,1700.0
York Quay Centre,Landmark,11226853,43.639728,-79.3800368,4.4,900.0,1700.0
Yorkdale Mall,Landmark,509769,43.725435,-79.4521692,4.4,1100.0,1900.0
Young Centre for the Performing Arts,Performing Arts,30032214,43.6509367,-79.3576708,4.6,1300.0,1600.0
Young People's Theatre,Performing Arts,8351482,43.650031,-79.3687789,4.2,900.0,1700.0
